Name,URL,Author,Price,Number of ratings,Average Rating
The Blue Umbrella,https://www.amazon.com/Blue-Umbrella-Ruskin-Bond/dp/8171673406?_encoding=UTF8&psc=1,Ruskin Bond,,207,4.3 out of 5 stars
Harappa - Curse of the Blood River,https://www.amazon.com/Harappa-Curse-Blood-Vineet-Bajpai/dp/9352685482?_encoding=UTF8&psc=1,Vineet Bajpai,,494,4.1 out of 5 stars
"Pregnancy Notes: Before, During & After",https://www.amazon.com/Pregnancy-Notes-Before-During-After/dp/9386224895?_encoding=UTF8&psc=1,Rujuta Diwekar,,142,3.9 out of 5 stars
Science Textbook for Class - 9  - 964,https://www.amazon.com/Science-Textbook-Class-9-964/dp/8174504923?_encoding=UTF8&psc=1,NCERT,,54,3.4 out of 5 stars
Black Holes: The Reith Lectures,https://www.amazon.com/Black-Holes-Lectures-Stephen-Hawking/dp/085750357X?_encoding=UTF8&psc=1,Stephen Hawking,,101,4.3 out of 5 stars
India's Struggle for Independence: 1857-1947,https://www.amazon.com/Indias-Struggle-Independence-Bipan-Chandra/dp/0140107819?_encoding=UTF8&psc=1,Bipan Chandra,,681,4.3 out of 5 stars
Moments : Supplementary Reader in English for Class - 9  - 960,https://www.amazon.com/Moments-Supplementary-Reader-English-Class/dp/8174505032?_encoding=UTF8&psc=1,NCERT,,4,4.3 out of 5 stars
The Fault in our Stars,https://www.amazon.com/Fault-our-Stars-John-Green/dp/0141345659?_encoding=UTF8&psc=1,John Green,,1377,4.4 out of 5 stars
Mathematics Textbook for Class - 9  - 962,https://www.amazon.com/Mathematics-Textbook-Class-9-962/dp/8174504893?_encoding=UTF8&psc=1,NCERT,,45,3.7 out of 5 stars
Indian Superfoods: Change the Way You Eat,https://www.amazon.com/Indian-Superfoods-Change-Way-You/dp/8193237234?_encoding=UTF8&psc=1,Rujuta Diwekar,,247,4.1 out of 5 stars
